Player,Age,Team,Pos,G,GS,MP,FG,FGA,FGPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Skylar Mays,26,MULTI,SG,38,5,11.4,1.7,4.2,0.396,0.3,0.4,0.765,0.3,0.9,1.1,2.2,0.6,0.1,0.5,0.7,4.1
Sandro Mamukelashvili,24,SAS,C,46,5,9.8,1.6,3.4,0.471,0.5,0.7,0.735,1,2.2,3.2,1.1,0.2,0.3,0.4,0.8,4.1
Luka Šamanić,24,UTA,PF,43,7,9.4,1.4,3.7,0.38,1,1.3,0.786,0.5,1.9,2.4,0.4,0.1,0.2,0.7,0.7,4.1
Jae'Sean Tate,28,HOU,SF,65,9,15.9,1.7,3.5,0.472,0.4,0.6,0.667,0.9,2.1,3,1,0.6,0.2,0.6,2.1,4.1
Patty Mills,35,MULTI,PG,32,5,13,1.4,4.1,0.351,0.3,0.3,1,0.3,0.8,1.1,1.1,0.6,0,0.5,1,4
Izaiah Brockington,24,NOP,PG,1,0,3,2,5,0.4,0,0,,1,1,2,0,0,0,0,0,4
Ousmane Dieng,20,OKC,PF,33,0,11.1,1.5,3.5,0.422,0.4,0.5,0.875,0.3,1.2,1.5,1.1,0.2,0.2,0.6,0.7,4
Luka Garza,25,MIN,C,25,0,4.9,1.4,3,0.48,0.7,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4
Mouhamed Gueye,21,ATL,PF,6,0,12.2,1.3,3.8,0.348,0.8,1,0.833,1.7,2,3.7,0.7,0.8,0.7,0.2,2.2,4
Justin Holiday,34,DEN,SG,58,9,14.9,1.5,3.3,0.454,0.1,0.1,0.75,0.2,1.1,1.2,1.2,0.6,0.2,0.2,1.2,4
Matthew Hurt,23,MEM,PF,8,0,14.1,1.5,4.3,0.353,0.4,0.4,1,1.1,0.9,2,0.5,0.4,0.4,0.3,1,4
JaVale McGee,36,SAC,C,46,0,7.4,1.7,2.9,0.598,0.6,1,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1,4
Svi Mykhailiuk,26,BOS,SF,41,2,10.1,1.4,3.3,0.416,0.1,0.2,0.667,0.3,1,1.2,0.9,0.3,0,0.3,0.5,4
Rayan Rupert,19,POR,SG,39,12,16.2,1.4,4.1,0.335,0.5,0.6,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,1.4,4
Adama Sanogo,21,CHI,PF,9,0,7.3,1.6,3,0.519,0.9,1.3,0.667,2.1,1.9,4,0,0.1,0,0.6,0.6,4
Jaylin Williams,21,OKC,C,69,1,13,1.4,3.3,0.417,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4
Jules Bernard,24,WAS,SG,19,0,7.8,1.5,3.4,0.453,0.3,0.5,0.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,0.7,3.9
Chris Duarte,26,SAC,SF,59,11,12.2,1.4,3.6,0.381,0.4,0.6,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.9
DeAndre Jordan,35,DEN,C,36,2,11,1.6,2.6,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9
Sidy Cissoko,19,SAS,SF,12,0,11.8,1.3,2.8,0.485,1,1.3,0.8,0.7,1.2,1.8,0.8,0.6,0.3,0.3,1.5,3.8
Anthony Gill,31,WAS,PF,50,3,9.3,1.5,3.2,0.469,0.6,0.7,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,1,3.8
KJ Martin,23,MULTI,SF,60,2,12.4,1.6,3,0.536,0.4,0.7,0.537,0.7,1.5,2.2,0.9,0.4,0.2,0.5,1.7,3.7
Keita Bates-Diop,28,MULTI,SF,53,8,12.5,1.4,3.1,0.434,0.6,0.8,0.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,0.7,3.7
Oshae Brissett,25,BOS,SF,55,1,11.5,1.2,2.8,0.444,0.9,1.5,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,1,3.7
Jamal Cain,24,MIA,PF,26,1,10,1.3,3,0.43,0.7,0.9,0.783,0.6,0.8,1.4,0.4,0.4,0.2,0.3,0.8,3.7
Drew Peterson,24,BOS,PF,3,0,7.7,1.3,2,0.667,0,0,,0,0.3,0.3,0.3,0.7,0,0.3,0.3,3.7
T.J. Warren,30,MIN,SF,11,0,11.4,1.6,3.7,0.439,0.3,0.4,0.75,0.5,1.5,2,0.8,0.4,0.1,0.4,1,3.7
James Bouknight,23,CHO,SG,14,0,5.8,1.3,2.9,0.439,0.1,0.1,0.5,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6
Collin Gillespie,24,DEN,PG,24,0,9.4,1.3,2.9,0.464,0.3,0.5,0.667,0,0.8,0.9,1.1,0.5,0,0.6,1,3.6
Gui Santos,21,GSW,PF,23,0,8.3,1.2,2.4,0.509,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1,3.6
Jarace Walker,20,IND,PF,33,0,10.3,1.4,3.3,0.409,0.2,0.3,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6
Lindy Waters III,26,OKC,SG,38,0,7.4,1.3,2.7,0.471,0.1,0.1,1,0.2,0.9,1.1,0.6,0.1,0.2,0.2,0.6,3.6
Théo Maledon,22,MULTI,PG,17,1,12.5,1.2,4.1,0.286,0.8,0.9,0.933,0.2,1.2,1.4,1.6,0.4,0,1.1,1.2,3.5
Onuralp Bitim,24,CHI,SG,23,1,11.7,1.4,3.7,0.381,0.2,0.2,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,1,3.5
Jordan McLaughlin,27,MIN,PG,56,0,11.2,1.3,2.6,0.483,0.2,0.3,0.722,0.3,1,1.3,2,0.6,0.1,0.3,0.6,3.5
Marques Bolden,25,MULTI,C,11,2,11,1.5,2.3,0.68,0.3,0.4,0.75,0.9,2.2,3.1,0.4,0.3,0.6,0.3,0.9,3.4
Ryan Rollins,21,MULTI,PG,13,0,6,1.1,2.1,0.519,1,1.3,0.765,0.2,0.8,1,1.1,0.8,0.2,0.6,0.6,3.4
Yuta Watanabe,29,MULTI,SF,34,0,13.6,1.2,3.4,0.353,0.3,0.5,0.588,0.3,1.3,1.6,0.4,0.4,0.2,0.6,1.1,3.4
Buddy Boeheim,24,DET,SF,10,0,8.4,0.9,2.9,0.31,0.8,1,0.8,0.3,0.7,1,0.3,0,0.1,0,0.5,3.4
Moses Brown,24,POR,C,22,5,9.1,1.5,3,0.508,0.4,1.4,0.29,1.7,2.2,3.9,0.3,0.2,0.3,0.5,1.2,3.4
Wenyen Gabriel,26,MEM,PF,5,0,16.2,1.6,4.4,0.364,0,1,0,1.4,3.6,5,0.6,0.4,0.4,1.6,2,3.4
Nassir Little,23,PHO,SF,45,2,10.2,1.3,2.8,0.46,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4
Jalen McDaniels,26,TOR,SF,50,1,10.8,1.3,3.8,0.344,0.5,0.7,0.73,0.4,1.2,1.6,0.7,0.4,0.1,0.6,1,3.4
Jaden Springer,21,MULTI,PG,49,2,10.3,1.2,3,0.399,0.7,0.9,0.833,0.7,0.9,1.6,0.9,0.7,0.3,0.7,1.3,3.3
Charles Bassey,23,SAS,C,19,0,10.8,1.5,2.1,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3
Micah Potter,25,UTA,PF,16,0,11.6,1.2,2.5,0.475,0.4,0.5,0.75,0.6,2.1,2.7,0.4,0.3,0.4,0.3,0.9,3.3
Dwight Powell,32,DAL,C,63,9,13.3,1.1,1.7,0.679,1,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3
Terquavion Smith,21,PHI,PG,16,0,5.3,1.1,2.9,0.391,0.2,0.3,0.6,0,0.3,0.3,0.8,0.5,0,0.4,0.5,3.3
Garrett Temple,37,TOR,SG,27,2,10.7,1.1,2.9,0.372,0.7,0.8,0.818,0.7,1,1.7,1,0.4,0.1,0.5,1,3.3
Tristan Thompson,32,CLE,C,49,0,11.2,1.5,2.4,0.608,0.3,1.1,0.288,1.5,2.1,3.6,1,0.2,0.3,0.6,1.2,3.3
Oscar Tshiebwe,24,IND,PF,8,0,5.3,1.3,2.5,0.5,0.8,1,0.75,1,1,2,0.3,0.3,0.1,0,0.4,3.3
Kira Lewis Jr.,22,MULTI,PG,28,0,9.5,1.2,3.3,0.37,0.6,0.7,0.85,0.3,0.6,0.9,1.3,0.3,0.1,0.5,0.5,3.2
A.J. Lawson,23,DAL,SG,42,0,7.4,1.3,2.9,0.446,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2
Boban Marjanović,35,HOU,C,14,0,5.1,1.3,2.4,0.529,0.6,1,0.643,0.5,1.8,2.3,0.4,0.1,0.1,0.4,0.4,3.2
Zeke Nnaji,23,DEN,PF,58,0,9.9,1.2,2.6,0.463,0.7,1.1,0.677,1.1,1.1,2.2,0.6,0.3,0.7,0.5,1.4,3.2
Ish Smith,35,CHO,PG,43,5,17.2,1.5,3.7,0.418,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1,3.2
JT Thor,21,CHO,PF,63,3,12.4,1.3,2.9,0.437,0.2,0.3,0.55,0.7,1.6,2.3,0.5,0.2,0.4,0.2,1,3.2
Brandon Williams,24,DAL,PG,17,0,6.6,1.2,3.2,0.37,0.6,1,0.647,0.2,0.5,0.8,1,0.1,0.1,0.4,0.2,3.2
Wesley Matthews,37,ATL,SG,36,3,11.5,0.9,2.7,0.351,0.5,0.7,0.75,0.3,1.2,1.5,0.6,0.4,0.3,0.2,1.2,3.1
Dalen Terry,21,CHI,SG,59,2,11.5,1.2,2.7,0.439,0.4,0.7,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,1.4,3.1
Gabe Vincent,27,LAL,PG,11,0,19.8,1.4,4.5,0.306,0.1,0.2,0.5,0.4,0.5,0.8,1.9,0.8,0,0.5,1.7,3.1
Mike Muscala,32,MULTI,C,53,6,11.3,1.1,2.9,0.359,0.3,0.5,0.68,0.7,1.6,2.4,0.7,0.2,0.2,0.4,1,3
Johnny Davis,21,WAS,SG,50,6,12.3,1.2,3.1,0.403,0.3,0.5,0.583,0.4,1.1,1.4,0.6,0.4,0.2,0.3,1.1,3
Saben Lee,24,PHO,PG,24,0,7.7,0.8,2.3,0.364,1.2,1.6,0.744,0.4,0.9,1.3,1.3,0.3,0.1,0.3,0.5,3
Olivier-Maxence Prosper,21,DAL,PF,40,1,8.4,1,2.6,0.385,0.7,1,0.683,0.6,1.4,2,0.6,0.2,0.1,0.2,0.5,3
Trevelin Queen,26,ORL,SG,14,0,11.8,1,2.7,0.368,0.6,0.9,0.75,0.2,1.2,1.4,1.3,0.5,0.4,0.5,1.1,2.9
Jeremiah Robinson-Earl,23,NOP,PF,39,1,8.6,1.2,2.4,0.474,0.3,0.4,0.75,0.6,1.4,1.9,0.5,0.3,0.1,0.4,0.6,2.9
Jeenathan Williams,24,HOU,SG,22,0,5.9,1.2,2.3,0.54,0.3,0.6,0.538,0.5,0.5,1,0.3,0.2,0,0.2,0.5,2.9
D.J. Carton,23,TOR,SG,4,0,9,0.8,2,0.375,1,1.3,0.8,0.5,0.5,1,0.8,0.3,0,0.3,0.8,2.8
Henri Drell,23,CHI,SF,4,0,7.5,1,2.5,0.4,0.3,0.5,0.5,0.3,0.8,1,1,0.5,0.3,0.5,1.5,2.8
Orlando Robinson,23,MIA,C,36,7,8.4,1,2,0.5,0.5,0.7,0.76,0.8,1.6,2.3,0.9,0.2,0.2,0.5,1,2.8
Emoni Bates,20,CLE,SF,15,0,8.9,1,3.3,0.306,0.1,0.3,0.25,0.1,0.9,0.9,0.7,0.1,0.1,0.5,0.3,2.7
